date,time,ms
15-6-2020,11:23:08,10.345
15-6-2020,11:23:09,9.691
15-6-2020,11:23:10,10.379
15-6-2020,11:23:11,9.599
15-6-2020,11:23:12,9.404
15-6-2020,11:23:13,9.898
15-6-2020,11:23:14,10.026
15-6-2020,11:23:15,14.456
15-6-2020,11:23:16,9.747
15-6-2020,11:23:17,9.865
15-6-2020,11:23:18,9.914
15-6-2020,11:23:19,9.373
15-6-2020,11:23:20,9.343
15-6-2020,11:23:21,9.47
15-6-2020,11:23:22,10.818
15-6-2020,11:23:23,9.616
15-6-2020,11:23:24,9.694
15-6-2020,11:23:25,10.699
15-6-2020,11:23:26,9.541
15-6-2020,11:23:27,9.506
15-6-2020,11:23:28,11.135
15-6-2020,11:23:29,9.404
15-6-2020,11:23:30,9.746
15-6-2020,11:23:31,10.187
15-6-2020,11:23:32,10.154
15-6-2020,11:23:33,10.321
15-6-2020,11:23:34,10.155
15-6-2020,11:23:35,10.832
15-6-2020,11:23:36,9.779
15-6-2020,11:23:37,9.493
15-6-2020,11:23:38,10.468
15-6-2020,11:23:39,9.805
15-6-2020,11:23:40,10.308
15-6-2020,11:23:41,10.236
15-6-2020,11:23:42,10.074
15-6-2020,11:23:43,11.207
15-6-2020,11:23:44,9.456
15-6-2020,11:23:45,9.885
15-6-2020,11:23:46,9.538
15-6-2020,11:23:47,10.264
15-6-2020,11:23:48,10.106
15-6-2020,11:23:49,9.941
15-6-2020,11:23:50,10.18
15-6-2020,11:23:51,9.88
15-6-2020,11:23:52,9.966
15-6-2020,11:23:53,9.836
15-6-2020,11:23:54,9.756
15-6-2020,11:23:55,9.298
15-6-2020,11:23:56,10.067
15-6-2020,11:23:57,11.105
15-6-2020,11:23:58,9.929
15-6-2020,11:23:59,13.129
15-6-2020,11:24:00,10.078
15-6-2020,11:24:01,10.103
15-6-2020,11:24:02,11.607
15-6-2020,11:24:03,10.447
15-6-2020,11:24:04,11.854
15-6-2020,11:24:05,9.681
15-6-2020,11:24:06,9.586
15-6-2020,11:24:07,9.573
15-6-2020,11:24:08,9.591
15-6-2020,11:24:09,10.023
15-6-2020,11:24:10,9.767
15-6-2020,11:24:11,9.851
15-6-2020,11:24:12,9.456
15-6-2020,11:24:13,9.853
15-6-2020,11:24:14,10.218
15-6-2020,11:24:15,9.947
15-6-2020,11:24:16,9.687
15-6-2020,11:24:17,14.654
15-6-2020,11:24:18,10.332
15-6-2020,11:24:19,10.075
15-6-2020,11:24:20,10.181
15-6-2020,11:24:21,10.108
15-6-2020,11:24:22,9.857
15-6-2020,11:24:23,9.625
15-6-2020,11:24:24,11.412
15-6-2020,11:24:25,9.815
15-6-2020,11:24:26,9.722
15-6-2020,11:24:27,9.615
15-6-2020,11:24:28,9.479
15-6-2020,11:24:29,12.466
15-6-2020,11:24:30,10.922
15-6-2020,11:24:31,9.447
15-6-2020,11:24:32,9.677
15-6-2020,11:24:33,9.7
15-6-2020,11:24:34,10.126
15-6-2020,11:24:35,9.418
15-6-2020,11:24:36,10.542
15-6-2020,11:24:37,9.966
15-6-2020,11:24:38,9.286
15-6-2020,11:24:39,9.529
15-6-2020,11:24:40,9.227
15-6-2020,11:24:41,9.985
15-6-2020,11:24:42,9.893
15-6-2020,11:24:43,11.199
15-6-2020,11:24:44,10.948
15-6-2020,11:24:45,10.134
15-6-2020,11:24:46,10.609
15-6-2020,11:24:47,10.881
15-6-2020,11:24:48,11.184
15-6-2020,11:24:49,10.619
15-6-2020,11:24:50,10.145
15-6-2020,11:24:51,9.47
15-6-2020,11:24:52,14.639
15-6-2020,11:24:53,10.313
15-6-2020,11:24:54,10.524
15-6-2020,11:24:55,10.543
15-6-2020,11:24:56,9.798
15-6-2020,11:24:57,9.598
15-6-2020,11:24:58,9.577
15-6-2020,11:24:59,10.008
15-6-2020,11:25:00,11.539
15-6-2020,11:25:01,10.359
15-6-2020,11:25:02,10.172
15-6-2020,11:25:03,9.535
15-6-2020,11:25:04,10.635
15-6-2020,11:25:05,9.843
15-6-2020,11:25:06,9.828
15-6-2020,11:25:07,9.79
15-6-2020,11:25:08,9.909
15-6-2020,11:25:09,9.739
15-6-2020,11:25:10,9.541
15-6-2020,11:25:11,10.378
15-6-2020,11:25:12,10.727
15-6-2020,11:25:13,9.57
15-6-2020,11:25:14,9.511
15-6-2020,11:25:15,9.783
15-6-2020,11:25:16,9.596
15-6-2020,11:25:17,9.856
15-6-2020,11:25:18,9.655
15-6-2020,11:25:19,9.821
15-6-2020,11:25:20,12.45
15-6-2020,11:25:21,9.948
15-6-2020,11:25:22,9.777
15-6-2020,11:25:23,10.012
15-6-2020,11:25:24,9.789
15-6-2020,11:25:25,11.443
15-6-2020,11:25:26,11.255
15-6-2020,11:25:27,9.716
15-6-2020,11:25:28,13.394
15-6-2020,11:25:29,9.481
15-6-2020,11:25:30,9.872
15-6-2020,11:25:31,9.997
15-6-2020,11:25:32,9.833
15-6-2020,11:25:33,9.735
15-6-2020,11:25:34,10.045
15-6-2020,11:25:35,9.451
15-6-2020,11:25:36,9.713
15-6-2020,11:25:37,9.968
15-6-2020,11:25:38,9.421
15-6-2020,11:25:39,10.675
15-6-2020,11:25:40,12.329
15-6-2020,11:25:41,9.844
15-6-2020,11:25:42,10.108
15-6-2020,11:25:43,9.722
15-6-2020,11:25:44,11.392
15-6-2020,11:25:45,9.87
15-6-2020,11:25:46,9.701
15-6-2020,11:25:47,10.773
15-6-2020,11:25:48,10.639
15-6-2020,11:25:49,10.057
15-6-2020,11:25:50,10.364
15-6-2020,11:25:51,9.869
15-6-2020,11:25:52,9.995
15-6-2020,11:25:53,9.699
15-6-2020,11:25:54,9.681
15-6-2020,11:25:55,10.833
15-6-2020,11:25:56,9.778
15-6-2020,11:25:58,10.403
15-6-2020,11:25:59,10.475
15-6-2020,11:26:00,9.604
15-6-2020,11:26:01,9.276
15-6-2020,11:26:02,12.878
15-6-2020,11:26:03,12.03
15-6-2020,11:26:04,9.653
15-6-2020,11:26:05,9.856
15-6-2020,11:26:06,10.922
15-6-2020,11:26:07,9.616
15-6-2020,11:26:08,9.832
15-6-2020,11:26:09,10.19
15-6-2020,11:26:10,11.616
15-6-2020,11:26:11,9.975
15-6-2020,11:26:12,9.404
15-6-2020,11:26:13,10.267
15-6-2020,11:26:14,10.471
15-6-2020,11:26:15,9.642
15-6-2020,11:26:16,10.625
15-6-2020,11:26:17,9.349
15-6-2020,11:26:18,9.34
15-6-2020,11:26:19,9.971
15-6-2020,11:26:20,10.486
15-6-2020,11:26:21,9.405
15-6-2020,11:26:22,14.26
15-6-2020,11:26:23,9.428
15-6-2020,11:26:24,10.281
15-6-2020,11:26:25,9.763
15-6-2020,11:26:26,15.333
15-6-2020,11:26:27,9.836
15-6-2020,11:26:28,10.082
15-6-2020,11:26:29,11.149
15-6-2020,11:26:30,9.325
15-6-2020,11:26:31,9.498
15-6-2020,11:26:32,11.325
15-6-2020,11:26:33,9.9
15-6-2020,11:26:34,10.326
15-6-2020,11:26:35,9.595
15-6-2020,11:26:36,9.766
15-6-2020,11:26:37,13.196
15-6-2020,11:26:38,10.501
15-6-2020,11:26:39,9.938
15-6-2020,11:26:40,9.931
15-6-2020,11:26:41,10.053
15-6-2020,11:26:42,9.716
15-6-2020,11:26:43,11.325
15-6-2020,11:26:44,9.467
15-6-2020,11:26:45,9.708
15-6-2020,11:26:46,9.473
15-6-2020,11:26:47,9.596
15-6-2020,11:26:48,10.345
15-6-2020,11:26:49,12.677
15-6-2020,11:26:50,11.578
15-6-2020,11:26:51,9.56
15-6-2020,11:26:52,9.615
15-6-2020,11:26:53,9.446
15-6-2020,11:26:54,10.538
15-6-2020,11:26:55,9.749
15-6-2020,11:26:56,9.518
15-6-2020,11:26:57,11.192
15-6-2020,11:26:58,9.319
15-6-2020,11:26:59,9.25
15-6-2020,11:27:00,10.312
15-6-2020,11:27:01,10.601
15-6-2020,11:27:02,9.295
15-6-2020,11:27:03,9.845
15-6-2020,11:27:04,9.649
15-6-2020,11:27:05,11.097
15-6-2020,11:27:06,12.247
15-6-2020,11:27:07,9.879
15-6-2020,11:27:08,9.645
15-6-2020,11:27:09,9.664
15-6-2020,11:27:10,10.493
15-6-2020,11:27:11,12.138
15-6-2020,11:27:12,9.471
15-6-2020,11:27:13,9.842
15-6-2020,11:27:14,9.777
15-6-2020,11:27:15,10.191
15-6-2020,11:27:16,11.5
15-6-2020,11:27:17,10.568
15-6-2020,11:27:18,10.184
15-6-2020,11:27:19,11.753
15-6-2020,11:27:20,10.418
15-6-2020,11:27:21,10.063
15-6-2020,11:27:22,11.639
15-6-2020,11:27:23,9.385
15-6-2020,11:27:24,9.866
15-6-2020,11:27:25,13.248
15-6-2020,11:27:26,9.783
15-6-2020,11:27:27,10.228
15-6-2020,11:27:28,9.78
15-6-2020,11:27:29,9.369
15-6-2020,11:27:30,9.515
15-6-2020,11:27:31,9.999
15-6-2020,11:27:32,9.807
15-6-2020,11:27:33,9.491
15-6-2020,11:27:34,10.025
15-6-2020,11:27:35,9.582
15-6-2020,11:27:36,9.743
15-6-2020,11:27:37,9.872
15-6-2020,11:27:38,10.508
15-6-2020,11:27:39,10.5
15-6-2020,11:27:40,10.038
15-6-2020,11:27:41,11.032
15-6-2020,11:27:42,9.29
15-6-2020,11:27:43,10.566
15-6-2020,11:27:44,10.564
15-6-2020,11:27:45,9.391
15-6-2020,11:27:46,10.27
15-6-2020,11:27:47,9.448
15-6-2020,11:27:48,9.61
15-6-2020,11:27:49,9.198
15-6-2020,11:27:50,9.705
15-6-2020,11:27:51,10.442
15-6-2020,11:27:52,9.396
15-6-2020,11:27:53,9.635
15-6-2020,11:27:54,9.874
15-6-2020,11:27:55,9.11
15-6-2020,11:27:56,9.748
15-6-2020,11:27:57,10.096
15-6-2020,11:27:58,11.336
15-6-2020,11:27:59,10.075
15-6-2020,11:28:00,9.542
15-6-2020,11:28:01,9.83
