date,time,ms
15-6-2020,11:23:12,3.176
15-6-2020,11:23:13,2.297
15-6-2020,11:23:14,2.539
15-6-2020,11:23:15,2.422
15-6-2020,11:23:16,2.6
15-6-2020,11:23:17,2.766
15-6-2020,11:23:18,3.708
15-6-2020,11:23:19,2.57
15-6-2020,11:23:20,2.984
15-6-2020,11:23:21,2.904
15-6-2020,11:23:22,3.381
15-6-2020,11:23:23,2.381
15-6-2020,11:23:24,5.196
15-6-2020,11:23:25,3.731
15-6-2020,11:23:26,2.658
15-6-2020,11:23:27,2.738
15-6-2020,11:23:28,2.613
15-6-2020,11:23:29,2.445
15-6-2020,11:23:30,2.937
15-6-2020,11:23:31,3.598
15-6-2020,11:23:32,4.988
15-6-2020,11:23:33,2.627
15-6-2020,11:23:34,3.002
15-6-2020,11:23:35,2.382
15-6-2020,11:23:36,2.767
15-6-2020,11:23:37,2.37
15-6-2020,11:23:38,2.996
15-6-2020,11:23:39,3.151
15-6-2020,11:23:40,3.642
15-6-2020,11:23:41,3.792
15-6-2020,11:23:42,3.288
15-6-2020,11:23:43,3.458
15-6-2020,11:23:44,4.644
15-6-2020,11:23:45,2.958
15-6-2020,11:23:46,2.34
15-6-2020,11:23:47,3.169
15-6-2020,11:23:48,2.873
15-6-2020,11:23:49,4.273
15-6-2020,11:23:50,2.551
15-6-2020,11:23:51,2.348
15-6-2020,11:23:52,2.521
15-6-2020,11:23:53,3.469
15-6-2020,11:23:54,3.713
15-6-2020,11:23:55,3.342
15-6-2020,11:23:56,2.583
15-6-2020,11:23:57,2.824
15-6-2020,11:23:58,2.393
15-6-2020,11:23:59,2.527
15-6-2020,11:24:00,3.155
15-6-2020,11:24:01,3.197
15-6-2020,11:24:02,2.517
15-6-2020,11:24:03,3.647
15-6-2020,11:24:04,3.541
15-6-2020,11:24:05,2.617
15-6-2020,11:24:06,2.473
15-6-2020,11:24:07,2.23
15-6-2020,11:24:08,2.41
15-6-2020,11:24:09,3.682
15-6-2020,11:24:10,2.695
15-6-2020,11:24:11,4.695
15-6-2020,11:24:12,2.467
15-6-2020,11:24:13,2.896
15-6-2020,11:24:14,3.19
15-6-2020,11:24:15,2.893
15-6-2020,11:24:16,2.497
15-6-2020,11:24:17,2.833
15-6-2020,11:24:18,3.298
15-6-2020,11:24:19,2.541
15-6-2020,11:24:20,3.102
15-6-2020,11:24:21,5.478
15-6-2020,11:24:22,2.412
15-6-2020,11:24:23,2.808
15-6-2020,11:24:24,4.642
15-6-2020,11:24:25,2.862
15-6-2020,11:24:26,4.518
15-6-2020,11:24:27,2.952
15-6-2020,11:24:28,2.52
15-6-2020,11:24:29,3.023
15-6-2020,11:24:30,2.686
15-6-2020,11:24:31,3.856
15-6-2020,11:24:32,2.856
15-6-2020,11:24:33,2.458
15-6-2020,11:24:34,2.815
15-6-2020,11:24:35,2.69
15-6-2020,11:24:36,2.985
15-6-2020,11:24:37,2.659
15-6-2020,11:24:38,2.492
15-6-2020,11:24:39,4.938
15-6-2020,11:24:40,2.595
15-6-2020,11:24:41,2.399
15-6-2020,11:24:42,3.027
15-6-2020,11:24:43,2.51
15-6-2020,11:24:44,4.895
15-6-2020,11:24:45,4.368
15-6-2020,11:24:46,2.555
15-6-2020,11:24:47,3.229
15-6-2020,11:24:48,2.705
15-6-2020,11:24:49,3.558
15-6-2020,11:24:50,2.976
15-6-2020,11:24:51,2.808
15-6-2020,11:24:52,2.76
15-6-2020,11:24:53,3.659
15-6-2020,11:24:54,3.387
15-6-2020,11:24:55,2.439
